Titre,URI de la circulaire,Identifiant unique de la circulaire,Type de document,Autres Références,Référence,Statut du texte,Lien vers le texte,Lien vers les annexes,Télécharger le document,Lien vers les annexes,Date de signature,Nature,Code SIAF,Date de signature ou de publication,Services administratifs concernés,Producteur(s),Date de modification,Date d'abrogation,Texte abrogatoire,Domaine archivistique,Contexte historique,Domaines (mots matières),Typologie documentaire,Domaines d'action,Modifie le(s) texte(s) suivant(s),Modifié par les textes suivants,Abroge le(s) texte(s) suivant(s)
Rassemblement des archives de la seconde guerre mondiale,https://francearchives.gouv.fr/circulaire/DAF_1950_05_15,DAF_1950_05_15,,,,caduc,,,https://francearchives.gouv.fr/file/7bb90bbb08386293baf12ecfa83156b11c8bf5c4/15_05_1950.pdf,,,Circulaire,sans référence,15/05/1950,France. Rectorat (ressort),,,,,Circulaire de tri,Guerre 1939-1945,guerre; enseignement,,,,,
Versement aux Archives départementales par les directions et services relevant du ministère de l'Education nationale des dossiers relatifs à la guerre 1939-1945,https://francearchives.gouv.fr/circulaire/AD_50_19,AD_50_19,,,,caduc,,,https://francearchives.gouv.fr/file/4ee2b22b10ab2b5305501d9fbd2a78c109feb24a/AD_50_19.pdf,,,Circulaire,AD 50-19,27/06/1950,France. Ministère de l'Education nationale,,,,,Circulaire de tri,Guerre 1939-1945,enseignement,,,,,
Plans cadastraux,https://francearchives.gouv.fr/circulaire/AD_50_20,AD_50_20,Note du ministère des finances (direction générale des impôts),sans référence,,abrogée,,,https://francearchives.gouv.fr/file/61d1945fe87ac2ea1ceb5697217c8ac99b28147e/AD_50_20.pdf,,13/06/1950,Circulaire,AD 50-20,28/06/1950,Direction générale des Impôts. Service du cadastre,DGI,,,,Circulaire de tri,,finances publiques; cadastre,plan cadastral,,,,
Conservation des pièces d'identité,https://francearchives.gouv.fr/circulaire/AD_51_1,AD_51_1,,,,caduc,,,https://francearchives.gouv.fr/file/03112399b3bb63a74ddf156d51288185b0d4e8f4/static_1019.pdf,,,Circulaire,AD 51-1,09/01/1951,Département. Préfecture,,,,,Circulaire de tri,,police administrative,carte d'identité,,,,
Versement des archives de l'entraide française,https://francearchives.gouv.fr/circulaire/AD_51_19,AD_51_19,,,,caduc,,,https://francearchives.gouv.fr/file/7d65e3991eae67a55f0866a370c64167cc691301/AD_51_19.pdf,,,Circulaire,AD 51-19,22/08/1951,Entraide Française (1944-?),,,,,Circulaire de tri,,protection sociale,,,,,
Tri et classement des papiers provenant des services du ravitaillement général (1939-1948),https://francearchives.gouv.fr/circulaire/AD_51_33,AD_51_33,,,,caduc,,,https://francearchives.gouv.fr/file/47c7b0aef91a06f182af2f0add77e125fbcb6381/AD_51_33.pdf,,,Circulaire,AD 51-33,26/11/1951,Département. Direction départementale du du ravitaillement général,,10/01/1952,,,Circulaire de tri,Guerre 1939-1945,guerre,,,,AD_52_3,
Papier des services du ravitaillement général,https://francearchives.gouv.fr/circulaire/AD_52_3,AD_52_3,,,,caduc,,,https://francearchives.gouv.fr/file/baa1a39f4a8d1e1fca0b2ab05f307fc8ac6da70f/AD_52_3.pdf,,,Circulaire,AD 52-3,10/01/1952,Département. Direction départementale du du ravitaillement général,,17/10/1959,,,Circulaire de tri,Guerre 1939-1945,guerre,,,AD_51_33,AD_59_31,
Remise aux Archives départementales des dossiers contentieux se rapportant à des délinquants ayant bénéficié de l'amnistie prévue par la loi du 16 août 1947 et les lois antérieures,https://francearchives.gouv.fr/circulaire/ECONOMIE_1952_05_29,ECONOMIE_1952_05_29,"Circulaire du ministre des finances, direction général des prix et du contrôle économique",sans référence,,caduc,,,https://francearchives.gouv.fr/file/ed0bed4277303b3784e8a8508d43d11c7953cecd/29_05_1952.pdf,,29/05/1952,,,29/05/1952,"France. Tribunal (commune, département).",,,,,Circulaire de tri,Libération (1944-1945),justice,,,,,
Dépôt aux archives départementales de cinq exemplaires de toutes les publications administratives du département,https://francearchives.gouv.fr/circulaire/AD_52_21,AD_52_21,,,,abrogée,,,https://francearchives.gouv.fr/file/e5a462e6412020f3083f4b03923d7e21e135c269/AD_52_21.pdf,,,Circulaire,AD 52-21,19/11/1952,Département. Préfecture,,,,,Circulaire de tri,,administration,publication officielle,,,,
Versement et triage des documents judiciaires,https://francearchives.gouv.fr/circulaire/AD_53_7,AD_53_7,,,,abrogée,,,https://francearchives.gouv.fr/file/228b31e173ad538a18312cc659834b9915a910ce/AD_53_7.pdf,,,Circulaire,AD 53-7,25/03/1953,"France. Cour d'appel
France. Cour d'assises (chef-lieu de département)
France. Tribunal de grande instance (commune, département)
France. Tribunal correctionnel
France. Tribunal d'instance (commune, département)
France. Tribunal de police (chef-lieu de canton, département)
France. Conseil de prud'hommes (commune, département)",,,04/04/1959,AD_59_13|,Circulaire de tri,,justice,,,,,
